text1,text2,label
Gelatin,GELATINE,1
Calcium Guanylate,calcium guanylate,1
E901,irn,0
glutamate,glutamic,1
E514,sodium sulphate,1
Calcium Guanylate,E629,1
hexamine,E636,0
Calcium Chloride,E509,1
Sodium Phosphate,SODIUM PHOSPHATE,1
Potassium Carbonate,Potassium Carbonate,1
Shellac,heavy cream,0
cochineal extract,Cochineal,1
potassium guanylate,Potassium Guanylate,1
cochineal extract,citric,0
Beef Steak,beef steak,1
Sunset Yellow FCF,sunset,1
Benzoic Acid,agar,0
Xanthan Gum,sweet cream butter,0
calcium citrate,CALCIUM CITRATE,1
potassium metabisulfite,triticum spelta,0
quicklime,Calcium Oxide,1
beta carotene,carotens,1
carmoisine,LEUCINE,0
Silicon Dioxide,SILICON DIOXIDE,1
Annatto,chicken breat,0
phosphoric acid,ricotta cheese,0
Riboflavin,SODIUM SULFATE,0
Ground Turkey,Spinach,0
Hexamine,hexamethylenetetramine,1
E239,hexamethylenetetramine,1
octyl gallate,lamb shops,0
E422,glycerin,1
chia seeds,octadecanoic acid,0
grapes,GRAPES,1
E926,chlorine dioxide,1
Sulphuric Acid,E513,1
amaranth,AMARANTH,1
Lutein,CALCIUM SULFITE,0
E151,H2O,0
Sodium Phosphate,disodium ribonucleotide,0
Grapes,vitis vinifera,1
E334,E405,0
Turmeric,CURCUMIN,1
ada,ADA,1
xanthan gum,Ground Turkey,0
steak,beef steak,1
pectine,Pectin,1
Quinoa,KEENWA,1
vitamin c,Ascorbic Acid,1
monosodium glutamate,MONOSODIUM GLUTAMATE,1
licopene,WHIPPING CREAM,0
calcium hydrogen sulphite,MINCED TURKEY,0
Potassium Inosinate,potassium inosinate,1
calcium carbonate,E640,0
E501,VITAMIN C,0
lipase,ENZIMES,1
Indigo Carmine,SODIUM ASCORBATE,0
Calcium Hydrogen Sulphite,calcium bisulfite,1
dipotassium guanylate,spinacia oleracea,0
butylated hydroxytoluene,butylhydroxytoluene,1
chicken this,CHICKEN LEGS,1
Green S,pot cheese,0
CACL2,omega 3,0
licopene,ROASTING CHICKEN,0
E310,propyl gallate,1
caramel,caramel colour,1
quinolin yellow,Hemp Seeds,0
SALTPETER,sour creme,0
gold leaf,ammonium alginate,0
glycerin,glycerine,1
sunset,creme cheese,0
E201,xanthan gum,0
Sodium Sulphite,BUTYLATED HYDROXYANISOLE,0
Vegetable Carbon,Hydrochloric Acid,0
lye,Sodium Hydroxide,1
E407,Carrageenan,1
sodium sulfate,GYPSUM,0
VEAL,milet,0
whole bird,CAROTS,0
Lithol Rubine BK,LITHOL,1
calcium ascorbate,dmps,0
Magnesium Carbonate,magnesium carbonate,1
Sodium Lactate,sodium lactate,1
ammonium alginate,magnesium carbonate,0
erythrosine bs,erythrosin,1
neotame,propylene glycol,0
lipase,enzymes,1
chlorine oxide,CHLORINE OXIDE,1
licopene,Lycopene,1
turkey,turky breast,1
cacl2,microcrystalline cellulose,0
OCTYL GALLATE,tartric acid,0
tocopherols,vitamin e,1
Potassium Sorbate,E622,0
slaked lime,SLAKED LIME,1
Microcrystalline Cellulose,E460,1
carots,Carrots,1
sulphur dioxide,Sulphur Dioxide,1
ponceau 4,spreadable cheese,0
calcium inosinate,calcium inosinate,1
E171,TITANIUM WHITE,1
calcium alginate,CALCIUM ALGINATE,1
DIPHENYL,CHEDDAR,0
Quinoa,chenopodium quinoa,1
STEARIC,enzimes,0
Calcium Carbonate,CHALK,1
Glycerin,glycerin,1
CACL2,MAGNESIUM GLUTAMATE,0
water,LYSINE,0
Sour Cream,Sour Cream,1
carmoisin,Agar,0
potassium sorbate,glycerol,0
E213,CALCIUM BENZOATE,1
calcium guanylate,ethyl maltol,0
E120,CARMINE,1
magnesia alba,ryce,0
Chicken Breast,poultry breast,1
sorbic,italian cheese,0
corn,korn,1
potassium bromate,bromic acid potassium salt,1
E170,E482,0
lutein,xanthophyll,1
ascorbic acid,sodium bicarbonate,0
Ghee,GELATINE,0
L-Lysine,LYSINE,1
wheat,WHEET,1
BUTYLATED HYDROXYANISOLE,Calcium Inosinate,0
Calcium Bisulfite,ghi,0
E525,Monoammonium Glutamate,0
patent blue v,phenylbenzene,0
caramel coloring,betanin,0
E509,calcium chloride,1
potassium carbonate,Potassium Carbonate,1
E150(a-d),caramel color,1
muriatic acid,Hydrochloric Acid,1
Calcium Hydroxide,slaked lime,1
Sodium 5'-Ribonucleotide,E635,1
sodium ribonucleotide,DISODIUM RIBONUCLEOTIDE,1
Cheddar Cheese,cheddar cheese,1
Sodium Inosinate,DISODIUM INOSINATE,1
chile saltpeter,PHOSPHATE,0
phosphoric acid,GHI,0
Glycerol/Glycerin,glycerin,1
lutein,Lutein,1
water,aqua,1
washing soda,neotam,0
oryza sativa,Rice,1
potassium nitrate,potassium nitrate,1
CAUSTIC POTASH,Potassium Guanylate,0
lutein,E501,0
Ethyl 4-hydroxybenzoate,Ethyl Paraben,1
NaHCO3,apples,0
Locust Bean Gum,magnesium sulphate,0
octadecanoic acid,Stearic Acid,1
calcium hydrogen sulfite,octadecanoic acid,0
MILET,spinach,0
GYPSUM,hamburger meat,0
Sodium 5'-Ribonucleotide,Sodium Ribonucleotide,1
E162,lithol,0
E160a,Carotenes,1
Potassium Nitrate,keenwa,0
calcium hydroxide,Calcium Hydroxide,1
lamb cutlets,POT ROAST,0
Bananas,BANANS,1
Turmeric,cannabis sativa seeds,0
oil of vitriol,banans,0
beta carotene,calcium benzoate,0
HCL,POTATOS,0
CHALK,sunflower lecithin,0
Ammonium Alginate,ammonium alginate,1
monoammonium glutamate,grapes,0
BETANIN,sodium guanylate,0
E173,bha,0
petroleum jelly,Mineral Hydrocarbons,1
carrageen,carrageenin,1
Green S,E961,0
Lecithin,sunflower lecithin,1
Citric Acid,citrate,1
E961,NEOTAM,1
turkey fillets,cheddar cheese,0
E124,Glycine,0
SODIUM SULFATE,avena sativa,0
Spinach,SPINAGE,1
Sodium Hydroxide,ammonium hydroxide,0
E400,chicken legs,0
vitamin B2,Riboflavin,1
quinoline,E481,0
hard cheese,cheddar cheese,1
Sulphuric Acid,oil of vitriol,1
E171,titanium white,1
iron oxides,E920,0
calcium oxide,tomatos,0
E223,Sodium Metabisulphite,1
sodium citrate,SODIUM CITRATE,1
turmeric,tumeric,1
Chlorophyll,chlorophyl,1
E102,maltodextin,0
Whole Chicken,spelt,0
maltol,LARIXINIC ACID,1
lycopene,E170,0
table salt,BUCKWHEET,0
E153,SULFUR DIOXIDE,0
curcumin,CHLOROPHYL,0
turmeric,strained yogurt,0
E180,PHOSPHATE,0
sodium metabisulfite,buckwheat,0
calcium ascorbate,Calcium Ascorbate,1
sodium hydroxide,lye,1
microcrystalline cellulose,octadecanoic acid,0
yellow 5,tartazine,1
SALTPETER,E621,0
BETA CAROTENE,chia seed,0
Baking Soda,bicarbonate of soda,1
silver powder,veal cutlets,0
Sodium Nitrite,sodium nitrite,1
Tocopherols,tocopherols,1
ala,OMEGA 3,1
tartrate,Tartaric Acid,1
bha,ethyl maltol,0
vitamin c,Ground Beef,0
E211,CALCIUM ASCORBATE,0
magnesium hydroxide,magnesia magma,1
alginic acid,Alginic Acid,1
magnesium carb,MAGNESIA ALBA,1
Quinoline Yellow,sodium metabisulphite,0
E239,Hexamine,1
L-Leucine,leusine,1
E100,Curcumin,1
E300,vitamin c,1
E518,CURD CHEESE,0
milk protein,whey protein isolate,1
Spelt,spelt,1
buttermilk,BUTTER MILK,1
Omega-3 Fatty Acids,dha,1
E220,pickling lime,0
E636,maltol,1
E331,sodium citrate,1
tartazine,TARTAZINE,1
Annatto,Greek Yogurt,0
annato,calcium carb,0
Flaxseeds,flaxseed,1
calcium sorbate,clarified butter,0
Chlorine,CHLORINE GAS,1
amylase,Enzymes,1
neotam,Neotame,1
Amaranth,AMARANTH,1
cochinel,E901,0
Propylene Glycol Alginate,PG ALGINATE,1
ascorbate,chedder cheese,0
Beeswax,whole milke,0
CALCIUM GUANYLATE,beef roest,0
sunset yellow fcf,CALCIUM ALGINATE,0
calcium citrate,tartrate,0
BEE WAX,Chia Seeds,0
Spelt,SPELT,1
riboflavin,VITAMIN B2,1
E516,calcium sulfate,1
Potassium Chloride,potassium chloride,1
E221,sodium sulphite,1
potatos,whey protein isolate,0
ethylmaltol,Azodicarbonamide,0
carots,CAROTS,1
caramel color,Vegetable Carbon,0
BAKING SODA,potash,0
Azodicarbonamide,Azodicarbonamide,1
whole bird,whole chiken,1
sodium benzoate,SODIUM BENZOATE,1
E504,magnesia alba,1
cacl2,vitamin d,0
flaxseed,calcium,0
potassium sulfate,Potassium Sulphate,1
avena sativa,oats,1
octyl gallate,flaxseed,0
Lycopene,lycopen,1
Octyl Gallate,OCTYL GALLATE,1
XANTHUM,silica,0
Potassium Benzoate,vitamin e,0
Vegetable Carbon,cream cheese,0
E123,Amaranth,1
Propylene Glycol,Propylene Glycol,1
diphenyl,DIPHENYL,1
E127,Erythrosine,1
Sodium Nitrite,solanum lycopersicum,0
vitamin d3,Vitamin D3,1
potassium chlor,phoenix dactylifera,0
beta carotene,Ground Turkey,0
potassium sorbate,LAMB RIBS,0
maize,korn,1
iron oxide,Iron Oxides,1
h2o,distilled water,1
Annatto,chedder cheese,0
italian cheese,Ricotta Cheese,1
calcium chloride,CACL2,1
LYE,buckwheet,0
baker's ammonia,E622,0
Potassium Alginate,Potassium Guanylate,0
E481,ssl,1
Ascorbic Acid (Vitamin C),ascorbate,1
calcium carbonat,calcium carbonite,1
hartshorn,kefir,0
gold leaf,Gold,1
SPINAGE,e551,0
neotame,Omega-3 Fatty Acids,0
licopene,mcc,0
Tartrazine,yellow 5,1
Ethyl Maltol,ethyl maltol,1
E415,xanthum gum,1
potassium sorbate,POTASSIUM SORBATE,1
copper chlorophyllin,SLAKED LIME,0
butter oil,Ghee,1
lithol rubine bk,Lithol Rubine,1
carotene,BETA CAROTENE,1
enzymes,SILICON DIOXIDE,0
citric,glutamic,0
Erythrosine,ERITHROSINE,1
Alginic Acid,kephir,0
E214,ethyl para-hydroxybenzoate,1
Ascorbyl Palmitate,chenopodium quinoa,0
DIPOTASSIUM INOSINATE,otes,0
CURCUMIN,oryza sativa,0
protease,Enzymes,1
E901,Beeswax,1
BUCKWHEET,leusine,0
Calcium Carbonate,IRON OXIDE,0
ponceau 4r,pot roast,0
arabic gum,aqua,0
water,Water,1
E153,Vegetable Carbon,1
E338,phosphoric acid,1
Dibasic acid,xanthum gum,0
monoammonium glutamate,triticum,0
gold,butter oil,0
alginic acid,algin,1
sunset yellow,SUNSET YELLOW,1
E632,Chia Seeds,0
E162,ornges,0
E160b,Carnauba Wax,0
larixinic acid,maltol,1
